id,prompt,classification
941,"Name a web browser (variation 10)",light
942,"Define 'cloud computing' briefly (variation 9)",light
943,"Who wrote Romeo and Juliet?",light
944,"What is the square root of 144? (variation 8)",light
945,"How many hours are in a day? (variation 2)",light
946,"Generate a detailed comparative analysis of 10 different programming languages (variation 4)",heavy
947,"Who wrote Romeo and Juliet? (variation 4)",light
948,"What is the chemical symbol for gold? (variation 11)",light
949,"Design and implement a full-stack web application with authentication, database integration, and API endpoints",heavy
950,"Build a natural language processing model for sentiment analysis on social media data (variation 6)",heavy
951,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 2)",heavy
952,"Build a recommendation system using collaborative filtering on user behavior data (variation 12)",heavy
953,"What does URL stand for? (variation 9)",light
954,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 2)",heavy
955,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 2)",heavy
956,"Name the four seasons (variation 11)",light
957,"What is the capital of Japan? (variation 12)",light
958,"Define 'variable' in programming (variation 5)",light
959,"Build a recommendation system using collaborative filtering on user behavior data (variation 8)",heavy
960,"What is the plural of 'mouse' (computer)? (variation 6)",light
961,"What does URL stand for? (variation 13)",light
962,"Build a recommendation engine using deep learning on large-scale user data (variation 8)",heavy
963,"Name a social media platform (variation 9)",light
964,"What color is a ruby? (variation 4)",light
965,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 7)",heavy
966,"Explain photosynthesis in one sentence (variation 9)",light
967,"Name a type of loop in programming (variation 6)",light
968,"Name the largest planet in our solar system (variation 9)",light
969,"Who wrote Romeo and Juliet? (variation 8)",light
970,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 10)",heavy
971,"Develop a complex optimization model for portfolio management with constraints (variation 2)",heavy
972,"How many hours are in a day? (variation 10)",light
973,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 10)",heavy
974,"Develop a complex simulation model for epidemic spread across populations (variation 3)",heavy
975,"What is the plural of 'mouse' (computer)?",light
976,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 12)",heavy
977,"What is 7 multiplied by 8? (variation 7)",light
978,"Write an extensive grant proposal for scientific research with methodology and budget (variation 3)",heavy
979,"Explain photosynthesis in one sentence (variation 8)",light
980,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 8)",heavy
981,"What does PDF stand for? (variation 6)",light
982,"Name three primary colors (variation 3)",light
983,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 3)",heavy
984,"Generate a full content marketing strategy with persona development and journey mapping (variation 6)",heavy
985,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting",heavy
986,"Write an extensive grant proposal for scientific research with methodology and budget (variation 10)",heavy
987,"What year did World War II end? (variation 11)",light
988,"What is the atomic number of carbon? (variation 13)",light
989,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 6)",heavy
990,"Name a type of loop in programming (variation 13)",light
991,"What is the atomic number of carbon?",light
992,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 11)",heavy
993,"What is the atomic number of carbon? (variation 11)",light
994,"Name a major ocean (variation 4)",light
995,"Write a detailed technical specification for a large-scale software project (variation 4)",heavy
996,"Name a programming paradigm (variation 6)",light
997,"What is the capital of Japan? (variation 13)",light
998,"How many sides does a hexagon have? (variation 9)",light
999,"How many continents are there? (variation 12)",light
1000,"What does PDF stand for? (variation 2)",light
1001,"Name a programming paradigm (variation 7)",light
1002,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 12)",heavy
1003,"Design a complete database schema for an e-commerce platform with normalization (variation 10)",heavy
1004,"Write an extensive grant proposal for scientific research with methodology and budget (variation 7)",heavy
1005,"Design an enterprise-level microservices architecture with deployment strategies (variation 9)",heavy
1006,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 6)",heavy
1007,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 8)",heavy
1008,"Generate a detailed feasibility study for a large infrastructure project (variation 2)",heavy
1009,"Write a detailed technical specification for a large-scale software project",heavy
1010,"What does PDF stand for? (variation 8)",light
1011,"Name a major ocean (variation 13)",light
1012,"Create a complete digital transformation roadmap for an enterprise organization",heavy
1013,"What is the capital of France? (variation 8)",light
1014,"Who wrote Romeo and Juliet? (variation 12)",light
1015,"What is the speed of light? (variation 6)",light
1016,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 2)",heavy
1017,"What is 7 multiplied by 8? (variation 11)",light
1018,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 2)",heavy
1019,"Write a detailed scientific literature review on climate change impacts with 50+ citations",heavy
1020,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 6)",heavy
1021,"Develop a complex simulation model for epidemic spread across populations (variation 8)",heavy
1022,"Create a full UI/UX design system with components, patterns, and design tokens (variation 11)",heavy
1023,"Name a programming language (variation 6)",light
1024,"What does HTTP stand for? (variation 6)",light
1025,"Create a complex financial model for mergers and acquisitions valuation (variation 11)",heavy
1026,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses",heavy
1027,"Spell 'accommodate' (variation 7)",light
1028,"What does PDF stand for? (variation 12)",light
1029,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 4)",heavy
1030,"Design an enterprise-level microservices architecture with deployment strategies (variation 6)",heavy
1031,"Design a neural network architecture for image classification with hyperparameter tuning (variation 2)",heavy
1032,"Build a recommendation system using collaborative filtering on user behavior data (variation 10)",heavy
1033,"Define 'cloud computing' briefly (variation 8)",light
1034,"Create a complete digital transformation roadmap for an enterprise organization (variation 8)",heavy
1035,"Define 'database' in simple terms (variation 12)",light
1036,"Build a natural language processing model for sentiment analysis on social media data (variation 5)",heavy
1037,"Generate a comprehensive employee training program with assessments and certifications (variation 3)",heavy
1038,"Generate a detailed comparative analysis of 10 different programming languages (variation 13)",heavy
1039,"What does PDF stand for? (variation 7)",light
1040,"Define 'database' in simple terms",light
1041,"Design an enterprise-level microservices architecture with deployment strategies (variation 4)",heavy
1042,"Design a complete database schema for an e-commerce platform with normalization",heavy
1043,"Who wrote Romeo and Juliet? (variation 3)",light
1044,"What does HTTP stand for? (variation 7)",light
1045,"Generate a detailed feasibility study for a large infrastructure project (variation 8)",heavy
1046,"Name a web browser (variation 2)",light
1047,"How many hours are in a day? (variation 4)",light
1048,"Generate a comprehensive risk assessment for a major construction project (variation 11)",heavy
1049,"Design a comprehensive data governance framework with policies and procedures (variation 3)",heavy
1050,"Create a detailed implementation plan for blockchain technology in supply chain (variation 5)",heavy
1051,"Define 'machine learning' briefly",light
1052,"Develop a complex optimization model for portfolio management with constraints (variation 7)",heavy
1053,"Name a web browser (variation 8)",light
1054,"What is 100 minus 37? (variation 11)",light
1055,"Generate a comprehensive risk assessment for a major construction project (variation 2)",heavy
1056,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 10)",heavy
1057,"What color is a ruby?",light
1058,"Translate 'hello' to Spanish (variation 2)",light
1059,"Create a complex financial model for mergers and acquisitions valuation (variation 8)",heavy
1060,"How many months have 31 days? (variation 7)",light
1061,"Design a distributed system architecture for handling millions of concurrent users (variation 2)",heavy
1062,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 2)",heavy
1063,"What is the capital of Japan? (variation 8)",light
1064,"Define 'machine learning' briefly (variation 7)",light
1065,"Define 'variable' in programming (variation 2)",light
1066,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 11)",heavy
1067,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 13)",heavy
1068,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 6)",heavy
1069,"What is 15% of 200? (variation 7)",light
1070,"Define the word 'algorithm' (variation 8)",light
1071,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 4)",heavy
1072,"Write an extensive grant proposal for scientific research with methodology and budget (variation 4)",heavy
1073,"Build a speech recognition system with accent adaptation and noise reduction (variation 11)",heavy
1074,"Design a comprehensive data governance framework with policies and procedures (variation 2)",heavy
1075,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 11)",heavy
1076,"Generate a full content marketing strategy with persona development and journey mapping (variation 5)",heavy
1077,"Spell 'accommodate' (variation 2)",light
1078,"What is the chemical symbol for gold? (variation 9)",light
1079,"What is the smallest prime number? (variation 5)",light
1080,"What color is a ruby? (variation 2)",light
1081,"Who wrote Romeo and Juliet? (variation 6)",light
1082,"How many hours are in a day? (variation 5)",light
1083,"Build a natural language processing model for sentiment analysis on social media data (variation 9)",heavy
1084,"What is the capital of France? (variation 3)",light
1085,"What is 1000 divided by 4? (variation 5)",light
1086,"What does AI stand for? (variation 4)",light
1087,"Explain photosynthesis in one sentence (variation 10)",light
1088,"What year did World War II end? (variation 12)",light
1089,"What is 100 minus 37? (variation 10)",light
1090,"Create a full UI/UX design system with components, patterns, and design tokens (variation 4)",heavy
1091,"Define 'cloud computing' briefly (variation 10)",light
1092,"How many degrees in a right angle? (variation 12)",light
1093,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 12)",heavy
1094,"What is 1000 divided by 4? (variation 3)",light
1095,"Name the four seasons (variation 3)",light
1096,"Design a neural network architecture for image classification with hyperparameter tuning (variation 3)",heavy
1097,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 8)",heavy
1098,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 9)",heavy
1099,"Design a complete database schema for an e-commerce platform with normalization (variation 5)",heavy
1100,"Build a recommendation system using collaborative filtering on user behavior data (variation 11)",heavy
1101,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 4)",heavy
1102,"What is the capital of Japan? (variation 2)",light
1103,"Translate 'hello' to Spanish (variation 5)",light
1104,"Name a programming language (variation 4)",light
1105,"What is 100 minus 37? (variation 9)",light
1106,"Define 'machine learning' briefly (variation 9)",light
1107,"Build a recommendation system using collaborative filtering on user behavior data",heavy
1108,"What is 7 multiplied by 8? (variation 5)",light
1109,"Who wrote Romeo and Juliet? (variation 9)",light
1110,"How many hours are in a day? (variation 9)",light
1111,"Convert 100 degrees Fahrenheit to Celsius (variation 3)",light
1112,"Convert 100 degrees Fahrenheit to Celsius (variation 4)",light
1113,"What color do you get mixing blue and yellow? (variation 8)",light
1114,"Develop a sophisticated trading algorithm with backtesting on historical market data (variation 9)",heavy
1115,"What is 25 squared? (variation 3)",light
1116,"Build a speech recognition system with accent adaptation and noise reduction (variation 8)",heavy
1117,"Design a neural network architecture for image classification with hyperparameter tuning (variation 8)",heavy
1118,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 5)",heavy
1119,"Develop a complex optimization model for portfolio management with constraints (variation 3)",heavy
1120,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 3)",heavy
1121,"Spell 'accommodate' (variation 5)",light
1122,"Name a renewable energy source (variation 2)",light
1123,"What is the capital of Japan? (variation 10)",light
1124,"Generate a comprehensive risk assessment for a major construction project (variation 12)",heavy
1125,"Develop a complete data warehouse design with ETL processes and reporting (variation 2)",heavy
1126,"Develop a complete data warehouse design with ETL processes and reporting (variation 11)",heavy
1127,"Create a full UI/UX design system with components, patterns, and design tokens (variation 13)",heavy
1128,"What is the plural of 'mouse' (computer)? (variation 5)",light
1129,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 7)",heavy
1130,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 12)",heavy
1131,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 3)",heavy
1132,"Build a computer vision system for object detection and tracking in videos (variation 7)",heavy
1133,"How many degrees in a right angle? (variation 7)",light
1134,"What year did World War II end? (variation 8)",light
1135,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 11)",heavy
1136,"Name the four seasons",light
1137,"What is 25 squared? (variation 6)",light
1138,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 5)",heavy
1139,"Name a renewable energy source (variation 7)",light
1140,"What is the capital of France? (variation 12)",light
1141,"What is the atomic number of carbon? (variation 6)",light
1142,"Build an AI chatbot with context understanding and multi-turn conversations (variation 4)",heavy
1143,"Name the largest planet in our solar system (variation 13)",light
1144,"How many degrees in a right angle?",light
1145,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 3)",heavy
1146,"What is the freezing point of water in Celsius? (variation 9)",light
1147,"Write an extensive comparative market analysis across multiple geographic regions",heavy
1148,"Create a detailed implementation plan for blockchain technology in supply chain (variation 8)",heavy
1149,"Name the largest planet in our solar system (variation 10)",light
1150,"Name a programming paradigm (variation 11)",light
1151,"What is the freezing point of water in Celsius? (variation 11)",light
1152,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 7)",heavy
1153,"Generate a detailed feasibility study for a large infrastructure project (variation 10)",heavy
1154,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 9)",heavy
1155,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 13)",heavy
1156,"Generate a comprehensive employee training program with assessments and certifications (variation 7)",heavy
1157,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 2)",heavy
1158,"Name a social media platform (variation 7)",light
1159,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 6)",heavy
1160,"Generate a full content marketing strategy with persona development and journey mapping (variation 8)",heavy
1161,"Convert 100 degrees Fahrenheit to Celsius (variation 8)",light
1162,"Design a distributed system architecture for handling millions of concurrent users (variation 13)",heavy
1163,"Name a major ocean (variation 8)",light
1164,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 13)",heavy
1165,"What does AI stand for? (variation 10)",light
1166,"Define 'machine learning' briefly (variation 13)",light
1167,"What is 7 multiplied by 8? (variation 4)",light
1168,"Write a thorough code review of a large codebase with refactoring suggestions (variation 10)",heavy
1169,"What color do you get mixing blue and yellow? (variation 6)",light
1170,"How many minutes in 2 hours? (variation 13)",light
1171,"Write an extensive grant proposal for scientific research with methodology and budget (variation 12)",heavy
1172,"What is 100 minus 37? (variation 6)",light
1173,"How many minutes in 2 hours? (variation 4)",light
1174,"What is 100 minus 37?",light
1175,"Define 'database' in simple terms (variation 7)",light
1176,"Develop a complex simulation model for epidemic spread across populations (variation 7)",heavy
1177,"Generate a detailed comparative analysis of 10 different programming languages (variation 10)",heavy
1178,"Build an AI chatbot with context understanding and multi-turn conversations (variation 9)",heavy
1179,"Generate a detailed comparative analysis of 10 different programming languages (variation 2)",heavy
1180,"Write an extensive comparative market analysis across multiple geographic regions (variation 8)",heavy
1181,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 6)",heavy
1182,"Create a full UI/UX design system with components, patterns, and design tokens (variation 9)",heavy
1183,"Design a distributed system architecture for handling millions of concurrent users (variation 8)",heavy
1184,"What is the freezing point of water in Celsius? (variation 5)",light
1185,"What is 1000 divided by 4? (variation 2)",light
1186,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 7)",heavy
1187,"Generate a detailed comparative analysis of 10 different programming languages (variation 5)",heavy
1188,"Generate a detailed feasibility study for a large infrastructure project (variation 7)",heavy
1189,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 9)",heavy
1190,"Generate a comprehensive employee training program with assessments and certifications (variation 13)",heavy
1191,"How many minutes in 2 hours? (variation 10)",light
1192,"Translate 'hello' to Spanish (variation 11)",light
1193,"Build a speech recognition system with accent adaptation and noise reduction (variation 9)",heavy
1194,"Name a type of loop in programming (variation 11)",light
1195,"What does HTTP stand for? (variation 9)",light
1196,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 10)",heavy
1197,"What is the plural of 'mouse' (computer)? (variation 3)",light
1198,"What is the speed of light? (variation 2)",light
1199,"Write an extensive comparative market analysis across multiple geographic regions (variation 12)",heavy
1200,"How many months have 31 days? (variation 10)",light
1201,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 9)",heavy
1202,"Write a thorough code review of a large codebase with refactoring suggestions (variation 12)",heavy
1203,"What is 7 multiplied by 8? (variation 3)",light
1204,"Build a recommendation engine using deep learning on large-scale user data",heavy
1205,"Build a computer vision system for object detection and tracking in videos (variation 8)",heavy
1206,"What year did World War II end? (variation 7)",light
1207,"Define 'machine learning' briefly (variation 6)",light
1208,"Write a detailed technical specification for a large-scale software project (variation 5)",heavy
1209,"Create a full UI/UX design system with components, patterns, and design tokens",heavy
1210,"What is the boiling point of water?",light
1211,"Translate 'hello' to Spanish (variation 12)",light
1212,"Name the four seasons (variation 7)",light
1213,"What is the capital of Japan? (variation 3)",light
1214,"Translate 'hello' to Spanish (variation 7)",light
1215,"How many degrees in a right angle? (variation 3)",light
1216,"Create a complex financial model for mergers and acquisitions valuation (variation 4)",heavy
1217,"Build an AI chatbot with context understanding and multi-turn conversations (variation 13)",heavy
1218,"What is the boiling point of water? (variation 10)",light
1219,"What is the freezing point of water in Celsius? (variation 13)",light
1220,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 11)",heavy
1221,"Name a renewable energy source (variation 10)",light
1222,"Name a major ocean (variation 10)",light
1223,"What does PDF stand for? (variation 11)",light
1224,"Name a major ocean (variation 3)",light
1225,"Design a distributed system architecture for handling millions of concurrent users (variation 9)",heavy
1226,"Translate 'hello' to Spanish (variation 13)",light
1227,"What is the capital of France? (variation 11)",light
1228,"Develop a complex simulation model for epidemic spread across populations (variation 6)",heavy
1229,"Create a complex financial model for mergers and acquisitions valuation (variation 3)",heavy
1230,"Design a complete database schema for an e-commerce platform with normalization (variation 12)",heavy
1231,"Generate a comprehensive risk assessment for a major construction project (variation 13)",heavy
1232,"Build a speech recognition system with accent adaptation and noise reduction (variation 3)",heavy
1233,"Create a complete game design document including mechanics, storyline, and level designs (variation 2)",heavy
1234,"Create a complete digital transformation roadmap for an enterprise organization (variation 4)",heavy
1235,"Define the word 'algorithm' (variation 10)",light
1236,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 5)",heavy
1237,"Name a programming language (variation 3)",light
1238,"Generate a full content marketing strategy with persona development and journey mapping (variation 12)",heavy
1239,"Design a comprehensive data governance framework with policies and procedures (variation 11)",heavy
1240,"What is the smallest prime number? (variation 2)",light
1241,"Define 'machine learning' briefly (variation 2)",light
1242,"Write an extensive grant proposal for scientific research with methodology and budget (variation 2)",heavy
1243,"Name a programming language (variation 2)",light
1244,"Name a social media platform",light
1245,"Generate a comprehensive risk assessment for a major construction project (variation 6)",heavy
1246,"Generate a comprehensive employee training program with assessments and certifications (variation 5)",heavy
1247,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 11)",heavy
1248,"Design a complete IoT system architecture with edge computing and cloud integration (variation 11)",heavy
1249,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 4)",heavy
1250,"What year did World War II end? (variation 9)",light
1251,"What does HTTP stand for? (variation 10)",light
1252,"What is the square root of 144? (variation 2)",light
1253,"Design a neural network architecture for image classification with hyperparameter tuning (variation 12)",heavy
1254,"Create a complete digital transformation roadmap for an enterprise organization (variation 6)",heavy
1255,"How many sides does a hexagon have? (variation 13)",light
1256,"What color do you get mixing blue and yellow?",light
1257,"Design and implement a full-stack web application with authentication, database integration, and API endpoints (variation 4)",heavy
1258,"What color is a ruby? (variation 11)",light
1259,"What does RAM stand for? (variation 12)",light
1260,"Build a speech recognition system with accent adaptation and noise reduction (variation 6)",heavy
1261,"What color is a ruby? (variation 9)",light
1262,"What color do you get mixing blue and yellow? (variation 7)",light
1263,"What is the speed of light? (variation 12)",light
1264,"Generate a detailed feasibility study for a large infrastructure project (variation 6)",heavy
1265,"How many sides does a hexagon have? (variation 7)",light
1266,"Create a comprehensive cybersecurity audit report with vulnerability assessments (variation 3)",heavy
1267,"What is 25 squared? (variation 12)",light
1268,"Create a complete game design document including mechanics, storyline, and level designs (variation 5)",heavy
1269,"What is 3/4 as a decimal? (variation 10)",light
1270,"Create a complex financial model for mergers and acquisitions valuation (variation 2)",heavy
1271,"Generate a comprehensive legal contract with all clauses, terms, and conditions",heavy
1272,"Generate a detailed comparative analysis of 10 different programming languages (variation 8)",heavy
1273,"Write an extensive comparative market analysis across multiple geographic regions (variation 2)",heavy
1274,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 8)",heavy
1275,"Analyze a large dataset of customer transactions and provide actionable insights with visualizations (variation 9)",heavy
1276,"Create a complex financial model for mergers and acquisitions valuation (variation 9)",heavy
1277,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 10)",heavy
1278,"Generate a comprehensive employee training program with assessments and certifications (variation 4)",heavy
1279,"Define 'database' in simple terms (variation 3)",light
1280,"Build an AI chatbot with context understanding and multi-turn conversations (variation 11)",heavy
1281,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 4)",heavy
1282,"What does AI stand for? (variation 7)",light
1283,"Develop a complete data warehouse design with ETL processes and reporting",heavy
1284,"Build a computer vision system for object detection and tracking in videos (variation 3)",heavy
1285,"Create a complete digital transformation roadmap for an enterprise organization (variation 3)",heavy
1286,"Name three primary colors (variation 12)",light
1287,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation",heavy
1288,"What is the capital of France?",light
1289,"What is the chemical symbol for gold? (variation 10)",light
1290,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 13)",heavy
1291,"How many hours are in a day? (variation 11)",light
1292,"What is the boiling point of water? (variation 9)",light
1293,"How many minutes in 2 hours? (variation 12)",light
1294,"How many degrees in a right angle? (variation 4)",light
1295,"Develop a complete data warehouse design with ETL processes and reporting (variation 5)",heavy
1296,"Define 'database' in simple terms (variation 6)",light
1297,"Create a complete game design document including mechanics, storyline, and level designs (variation 10)",heavy
1298,"Design a complete database schema for an e-commerce platform with normalization (variation 9)",heavy
1299,"How many continents are there? (variation 4)",light
1300,"Write an extensive comparative market analysis across multiple geographic regions (variation 7)",heavy
